iter	Logloss
0	0.6802296232
1	0.6698429273
2	0.6603461646
3	0.6536579598
4	0.648238278
5	0.6440867796
6	0.6404607358
7	0.6375153626
8	0.6346003076
9	0.6326440154
10	0.6311084768
11	0.6298666445
12	0.6288431463
13	0.6279086428
14	0.6270575045
15	0.6265173176
16	0.6259844285
17	0.6255614597
18	0.62520469
19	0.6246858399
20	0.6243602895
21	0.6240741859
22	0.6238986763
23	0.6237471304
24	0.6235536403
25	0.6233990291
26	0.6232779389
27	0.6231716923
28	0.6230837802
29	0.6230199842
30	0.6229356797
31	0.6228513199
32	0.6227839548
33	0.6227186376
34	0.6226369093
35	0.6225586595
36	0.6224998178
37	0.6224559293
38	0.6224218959
39	0.622299721
40	0.6222560824
41	0.6221981825
42	0.6221746932
43	0.6221430104
44	0.6221288897
45	0.6221093706
46	0.6220852165
47	0.6220547163
48	0.6220318756
49	0.6220086
50	0.6219934391
51	0.6219754923
52	0.6219435725
53	0.6219317808
54	0.6219107605
55	0.6218912514
56	0.6218833319
57	0.6218641899
58	0.6218493984
59	0.6218153781
60	0.6218013445
61	0.6217883082
62	0.6217253622
63	0.6217094594
64	0.6217045368
65	0.6216920794
66	0.6216877466
67	0.6216798394
68	0.6216597359
69	0.6216500283
70	0.6216397812
71	0.6216280165
72	0.6216137571
73	0.6216104763
74	0.6215952365
75	0.6215797346
76	0.6215769371
77	0.6215681662
78	0.6215601374
79	0.6215456324
80	0.6215328721
81	0.6215281165
82	0.6215205405
83	0.6215113517
84	0.6214840491
85	0.6214774332
86	0.6214752897
87	0.6214658403
88	0.6214579076
89	0.6214512911
90	0.6214469607
91	0.6214427507
92	0.6214353072
93	0.6214273331
94	0.6214195354
95	0.6214151664
96	0.6214049152
97	0.621390634
98	0.621387614
99	0.6213792895
100	0.6213735487
101	0.6213683161
102	0.621365869
103	0.6213537091
104	0.6213469092
105	0.6213272226
106	0.6213253954
107	0.6213202782
108	0.6213151579
109	0.6213133481
110	0.6212923155
111	0.6212835713
112	0.6212713539
113	0.6212658018
114	0.6212583803
115	0.6212539187
116	0.6212500697
117	0.6212408302
118	0.6212313296
119	0.6212232979
120	0.6212143532
121	0.6212077544
122	0.6211978354
123	0.6211954773
124	0.6211849472
125	0.6211668068
126	0.6211593289
127	0.6211535878
128	0.6211482233
129	0.6211451764
130	0.6211369686
131	0.6211257817
132	0.621120893
133	0.6211150898
134	0.6211086695
135	0.6211048854
136	0.6210950669
137	0.6210877279
138	0.6210813157
139	0.6210734882
140	0.6210648664
141	0.6210573078
142	0.6210528367
143	0.6210434268
144	0.6210365403
145	0.6210282698
146	0.6210203214
147	0.6210092822
148	0.6210022466
149	0.6209978002
150	0.6209952127
151	0.620982405
152	0.6209772113
153	0.6209680807
154	0.6209639533
155	0.6209571242
156	0.6209449867
157	0.6209367962
158	0.6209255062
159	0.6209123386
160	0.6209058611
161	0.62089591
162	0.6208920605
163	0.6208832084
164	0.62087583
165	0.6208653638
166	0.6208587146
167	0.6208496316
168	0.6208401743
169	0.6208289473
170	0.6208227876
171	0.6208196129
172	0.6208139547
173	0.6208110407
174	0.6208014094
175	0.6207939971
176	0.6207907216
177	0.620781098
178	0.6207765286
179	0.6207689194
180	0.6207607884
181	0.620756003
182	0.6207491245
183	0.6207379571
184	0.6207358546
185	0.6207274532
